t,theta1,omega1,theta2,omega2,x2,y2,energy
0.255,1.771256679,-2.456856808,-0.6127265456,-0.3777673163,0.4048748805,-0.6189625386,1.314587347
0.26,1.758869046,-2.498126492,-0.6145670026,-0.3581459178,0.4057615878,-0.6300572442,1.314587348
0.265,1.746276112,-2.538977268,-0.6163052862,-0.3368934209,0.4066187375,-0.6414390805,1.314587349
0.27,1.733479973,-2.579408447,-0.6179331736,-0.3139830393,0.4074444,-0.6531106178,1.314587349
0.275,1.720482726,-2.61942091,-0.6194423109,-0.2893892781,0.4082367143,-0.6650743218,1.31458735
0.28,1.707286458,-2.659017217,-0.6208242203,-0.2630879818,0.4089938957,-0.6773325456,1.314587351
0.285,1.69389324,-2.698201728,-0.6220703067,-0.2350563707,0.409714245,-0.689887522,1.314587352
0.29,1.680305116,-2.736980713,-0.6231718645,-0.2052730642,0.4103961567,-0.7027413549,1.314587353
0.295,1.666524095,-2.775362476,-0.6241200845,-0.1737180895,0.4110381276,-0.7158960117,1.314587354
0.3,1.652552136,-2.813357458,-0.6249060615,-0.140372875,0.4116387652,-0.7293533152,1.314587355
0.305,1.638391144,-2.85097836,-0.6255208008,-0.1052202258,0.4121967963,-0.7431149356,1.314587356
0.31,1.624042951,-2.888240248,-0.6259552249,-0.06824428057,0.4127110754,-0.7571823829,1.314587358
0.315,1.609509311,-2.925160664,-0.6262001803,-0.02943044781,0.4131805927,-0.7715569985,1.314587359
0.32,1.59479188,-2.961759732,-0.6262464438,0.0112346792,0.4136044824,-0.7862399479,1.31458736
0.325,1.579892211,-2.998060267,-0.6260847274,0.05376343059,0.4139820302,-0.8012322125,1.314587362
0.33,1.564811733,-3.034087878,-0.6257056844,0.09816719238,0.4143126812,-0.8165345818,1.314587364
0.335,1.54955174,-3.069871067,-0.6250999128,0.1444565643,0.4145960467,-0.8321476455,1.314587365
0.34,1.534113377,-3.105441339,-0.6242579594,0.1926415443,0.4148319117,-0.8480717852,1.314587367
0.345,1.518497624,-3.140833299,-0.6231703219,0.2427317407,0.4150202416,-0.8643071663,1.314587369
0.35,1.502705279,-3.176084757,-0.6218274508,0.2947366129,0.4151611878,-0.8808537292,1.314587371
0.355,1.486736942,-3.211236836,-0.6202197487,0.3486657421,0.4152550945,-0.897711181,1.314587373
0.36,1.470593002,-3.246334082,-0.6183375697,0.4045291328,0.4153025041,-0.9148789856,1.314587376
0.365,1.454273613,-3.281424577,-0.6161712158,0.462337546,0.4153041621,-0.9323563546,1.314587378
0.37,1.437778682,-3.316560065,-0.6137109328,0.5221028655,0.4152610224,-0.9501422363,1.314587381
0.375,1.421107845,-3.351796085,-0.6109469034,0.5838384991,0.415174252,-0.9682353052,1.314587384
0.38,1.404260454,-3.387192115,-0.6078692385,0.6475598144,0.4150452349,-0.9866339497,1.314587387
0.385,1.387235552,-3.422811735,-0.6044679663,0.7132846136,0.414875576,-1.005336259,1.31458739
0.39,1.370031852,-3.458722808,-0.6007330188,0.7810336464,0.4146671055,-1.024340009,1.314587394
0.395,1.352647718,-3.494997677,-0.5966542159,0.850831166,0.4144218815,-1.043642646,1.314587397
0.4,1.33508114,-3.531713402,-0.5922212461,0.9227055292,0.4141421939,-1.06324127,1.314587402
0.405,1.317329713,-3.568952018,-0.5874236444,0.9966898446,0.4138305673,-1.083132615,1.314587406
