t,theta1,omega1,theta2,omega2,x2,y2,energy
0.2350000000,1.2982465785,-2.3510773837,0.0368901838,0.6319480924,0.9999694833,-1.2685075745,-9.8099999813
0.2400000000,1.2863546107,-2.4058039361,0.0401542433,0.6739936262,0.9999619224,-1.2798155706,-9.8099999797
0.2450000000,1.2741875572,-2.4611198163,0.0436333500,0.7179772554,0.9999526768,-1.2913269639,-9.8099999781
0.2500000000,1.2617423460,-2.5170757744,0.0473373511,0.7639621625,0.9999414090,-1.3030373711,-9.8099999763
0.2550000000,1.2490156423,-2.5737261669,0.0512764170,0.8120144322,0.9999277196,-1.3149420023,-9.8099999744
0.2600000000,1.2360038303,-2.6311291513,0.0554610561,0.8622032618,0.9999111381,-1.3270356242,-9.8099999724
0.2650000000,1.2227029932,-2.6893468802,0.0599021311,0.9146011675,0.9998911101,-1.3393125186,-9.8099999703
0.2700000000,1.2091088933,-2.7484456886,0.0646108760,0.9692841778,0.9998669838,-1.3517664380,-9.8099999681
0.2750000000,1.1952169504,-2.8084962690,0.0695989140,1.0263320051,0.9998379940,-1.3643905549,-9.8099999659
0.2800000000,1.1810222194,-2.8695738267,0.0748782763,1.0858281825,0.9998032432,-1.3771774068,-9.8099999636
0.2850000000,1.1665193678,-2.9317582022,0.0804614218,1.1478601491,0.9997616801,-1.3901188345,-9.8099999614
0.2900000000,1.1517026521,-2.9951339482,0.0863612561,1.2125192618,0.9997120741,-1.4032059139,-9.8099999592
0.2950000000,1.1365658943,-3.0597903404,0.0925911513,1.2799007043,0.9996529863,-1.4164288798,-9.8099999571
0.3000000000,1.1211024582,-3.1258212966,0.0991649647,1.3501032560,0.9995827351,-1.4297770414,-9.8099999552
0.3050000000,1.1053052268,-3.1933251719,0.1060970554,1.4232288726,0.9994993564,-1.4432386882,-9.8099999536
0.3100000000,1.0891665812,-3.2624043855,0.1134022991,1.4993820149,0.9994005575,-1.4568009849,-9.8099999526
0.3150000000,1.0726783812,-3.3331648254,0.1210960979,1.5786686460,0.9992836627,-1.4704498556,-9.8099999522
0.3200000000,1.0558319503,-3.4057149563,0.1291943848,1.6611947923,0.9991455509,-1.4841698530,-9.8099999527
0.3250000000,1.0386180659,-3.4801645428,0.1377136187,1.7470645391,0.9989825815,-1.4979440158,-9.8099999546
0.3300000000,1.0210269569,-3.5566228679,0.1466707689,1.8363772915,0.9987905098,-1.5117537086,-9.8099999580
