t,theta1,omega1,theta2,omega2,x2,y2,energy
0.2300000000,0.1331386566,-0.3296107374,0.1709220282,-0.0608206038,0.3028366853,-1.9765784904,-28.9828921712
0.2350000000,0.1314790818,-0.3341945898,0.1706085405,-0.0645967839,0.3008826874,-1.9768506998,-28.9828921712
0.2400000000,0.1297969577,-0.3386302697,0.1702758370,-0.0685069874,0.2988870143,-1.9771262572,-28.9828921712
0.2450000000,0.1280930282,-0.3429165141,0.1699232467,-0.0725515522,0.2968497292,-1.9774050486,-28.9828921712
0.2500000000,0.1263680435,-0.3470521676,0.1695500972,-0.0767306722,0.2947709005,-1.9776869611,-28.9828921712
0.2550000000,0.1246227593,-0.3510361826,0.1691557156,-0.0810443962,0.2926506022,-1.9779718827,-28.9828921712
0.2600000000,0.1228579360,-0.3548676203,0.1687394291,-0.0854926271,0.2904889135,-1.9782597021,-28.9828921712
0.2650000000,0.1210743388,-0.3585456511,0.1683005655,-0.0900751214,0.2882859196,-1.9785503093,-28.9828921712
0.2700000000,0.1192727364,-0.3620695546,0.1678384547,-0.0947914887,0.2860417115,-1.9788435951,-28.9828921712
0.2750000000,0.1174539011,-0.3654387205,0.1673524284,-0.0996411917,0.2837563860,-1.9791394511,-28.9828921712
0.2800000000,0.1156186079,-0.3686526479,0.1668418217,-0.1046235455,0.2814300464,-1.9794377699,-28.9828921712
0.2850000000,0.1137676340,-0.3717109461,0.1663059732,-0.1097377186,0.2790628022,-1.9797384449,-28.9828921712
0.2900000000,0.1119017583,-0.3746133340,0.1657442264,-0.1149827323,0.2766547695,-1.9800413701,-28.9828921712
0.2950000000,0.1100217608,-0.3773596401,0.1651559297,-0.1203574619,0.2742060711,-1.9803464404,-28.9828921712
0.3000000000,0.1081284222,-0.3799498021,0.1645404377,-0.1258606365,0.2717168364,-1.9806535510,-28.9828921712
0.3050000000,0.1062225230,-0.3823838666,0.1638971116,-0.1314908406,0.2691872022,-1.9809625978,-28.9828921712
0.3100000000,0.1043048434,-0.3846619885,0.1632253201,-0.1372465144,0.2666173120,-1.9812734770,-28.9828921712
0.3150000000,0.1023761626,-0.3867844303,0.1625244402,-0.1431259552,0.2640073168,-1.9815860849,-28.9828921712
0.3200000000,0.1004372580,-0.3887515615,0.1617938574,-0.1491273185,0.2613573749,-1.9819003182,-28.9828921712
0.3250000000,0.0984889051,-0.3905638579,0.1610329671,-0.1552486196,0.2586676522,-1.9822160732,-28.9828921712
0.3300000000,0.0965318765,-0.3922219004,0.1602411748,-0.1614877349,0.2559383222,-1.9825332464,-28.9828921712
0.3350000000,0.0945669420,-0.3937263743,0.1594178971,-0.1678424036,0.2531695663,-1.9828517338,-28.9828921712
0.3400000000,0.0925948674,-0.3950780679,0.1585625621,-0.1743102299,0.2503615737,-1.9831714307,-28.9828921712
0.3450000000,0.0906164145,-0.3962778718,0.1576746104,-0.1808886843,0.2475145417,-1.9834922321,-28.9828921712
0.3500000000,0.0886323402,-0.3973267772,0.1567534953,-0.1875751062,0.2446286758,-1.9838140320,-28.9828921712
0.3550000000,0.0866433964,-0.3982258749,0.1557986840,-0.1943667060,0.2417041896,-1.9841367233,-28.9828921712
0.3600000000,0.0846503292,-0.3989763540,0.1548096578,-0.2012605670,0.2387413055,-1.9844601977,-28.9828921712
0.3650000000,0.0826538785,-0.3995795001,0.1537859130,-0.2082536485,0.2357402538,-1.9847843458,-28.9828921712
0.3700000000,0.0806547775,-0.4000366942,0.1527269612,-0.2153427876,0.2327012740,-1.9851090563,-28.9828921712
0.3750000000,0.0786537523,-0.4003494109,0.1516323305,-0.2225247023,0.2296246138,-1.9854342163,-28.9828921712
0.3800000000,0.0766515215,-0.4005192169,0.1505015652,-0.2297959940,0.2265105300,-1.9857597108,-28.9828921712
0.3850000000,0.0746487956,-0.4005477694,0.1493342274,-0.2371531500,0.2233592882,-1.9860854229,-28.9828921712
0.3900000000,0.0726462764,-0.4004368144,0.1481298966,-0.2445925471,0.2201711631,-1.9864112331,-28.9828921712
0.3950000000,0.0706446569,-0.4001881849,0.1468881711,-0.2521104536,0.2169464383,-1.9867370196,-28.9828921712
0.4000000000,0.0686446208,-0.3998037990,0.1456086676,-0.2597030328,0.2136854068,-1.9870626577,-28.9828921712
0.4050000000,0.0666468419,-0.3992856587,0.1442910228,-0.2673663460,0.2103883705,-1.9873880202,-28.9828921712
0.4100000000,0.0646519837,-0.3986358472,0.1429348930,-0.2750963556,0.2070556410,-1.9877129764,-28.9828921712
0.4150000000,0.0626606992,-0.3978565275,0.1415399550,-0.2828889278,0.2036875392,-1.9880373927,-28.9828921712
0.4200000000,0.0606736305,-0.3969499409,0.1401059065,-0.2907398364,0.2002843953,-1.9883611320,-28.9828921712
0.4250000000,0.0586914081,-0.3959184041,0.1386324666,-0.2986447658,0.1968465495,-1.9886840538,-28.9828921712
0.4300000000,0.0567146508,-0.3947643082,0.1371193761,-0.3065993139,0.1933743512,-1.9890060137,-28.9828921712
0.4350000000,0.0547439652,-0.3934901162,0.1355663982,-0.3145989959,0.1898681597,-1.9893268639,-28.9828921712
0.4400000000,0.0527799455,-0.3920983612,0.1339733185,-0.3226392471,0.1863283441,-1.9896464523,-28.9828921712
0.4450000000,0.0508231732,-0.3905916444,0.1323399458,-0.3307154270,0.1827552834,-1.9899646231,-28.9828921712
0.4500000000,0.0488742163,-0.3889726330,0.1306661122,-0.3388228216,0.1791493664,-1.9902812161,-28.9828921712
0.4550000000,0.0469336295,-0.3872440582,0.1289516736,-0.3469566478,0.1755109918,-1.9905960671,-28.9828921712
0.4600000000,0.0450019536,-0.3854087130,0.1271965098,-0.3551120561,0.1718405685,-1.9909090076,-28.9828921712
0.4650000000,0.0430797155,-0.3834694506,0.1254005252,-0.3632841344,0.1681385153,-1.9912198648,-28.9828921712
0.4700000000,0.0411674275,-0.3814291815,0.1235636489,-0.3714679112,0.1644052614,-1.9915284615,-28.9828921712
0.4750000000,0.0392655871,-0.3792908720,0.1216858350,-0.3796583595,0.1606412460,-1.9918346160,-28.9828921712
0.4800000000,0.0373746771,-0.3770575420,0.1197670627,-0.3878503996,0.1568469184,-1.9921381424,-28.9828921712
0.4850000000,0.0354951650,-0.3747322625,0.1178073369,-0.3960389031,0.1530227384,-1.9924388504,-28.9828921712
0.4900000000,0.0336275026,-0.3723181534,0.1158066882,-0.4042186964,0.1491691760,-1.9927365451,-28.9828921712
0.4950000000,0.0317721262,-0.3698183819,0.1137651731,-0.4123845639,0.1452867116,-1.9930310277,-28.9828921712
0.5000000000,0.0299294562,-0.3672361592,0.1116828745,-0.4205312521,0.1413758360,-1.9933220947,-28.9828921712
0.5050000000,0.0280998966,-0.3645747392,0.1095599014,-0.4286534726,0.1374370503,-1.9936095389,-28.9828921712
0.5100000000,0.0262838353,-0.3618374156,0.1073963894,-0.4367459062,0.1334708661,-1.9938931486,-28.9828921712
0.5150000000,0.0244816434,-0.3590275197,0.1051925008,-0.4448032061,0.1294778055,-1.9941727084,-28.9828921712
0.5200000000,0.0226936754,-0.3561484177,0.1029484248,-0.4528200022,0.1254584011,-1.9944479991,-28.9828921712
0.5250000000,0.0209202689,-0.3532035090,0.1006643773,-0.4607909040,0.1214131957,-1.9947187978,-28.9828921712
0.5300000000,0.0191617443,-0.3501962226,0.0983406013,-0.4687105050,0.1173427431,-1.9949848781,-28.9828921712
0.5350000000,0.0174184049,-0.3471300157,0.0959773668,-0.4765733864,0.1132476070,-1.9952460105,-28.9828921712
0.5400000000,0.0156905366,-0.3440083701,0.0935749710,-0.4843741206,0.1091283622,-1.9955019622,-28.9828921712
0.5450000000,0.0139784078,-0.3408347905,0.0911337382,-0.4921072753,0.1049855934,-1.9957524979,-28.9828921712
0.5500000000,0.0122822693,-0.3376128007,0.0886540199,-0.4997674174,0.1008198962,-1.9959973794,-28.9828921712
0.5550000000,0.0106023545,-0.3343459420,0.0861361948,-0.5073491170,0.0966318764,-1.9962363666,-28.9828921712
0.5600000000,0.0089388788,-0.3310377695,0.0835806685,-0.5148469513,0.0924221503,-1.9964692173,-28.9828921712
