t,theta1,omega1,theta2,omega2,x2,y2,energy
0.0000000000,1.5707963268,0.0000000000,0.0000000000,0.0000000000,1.0000000000,-1.0000000000,-2.4525000000
0.0050000000,1.5706737018,-0.0490500000,0.0000000075,0.0000060148,1.0000000000,-1.0001226250,-2.4525000000
0.0100000000,1.5703058268,-0.0981000005,0.0000001203,0.0000481180,1.0000000000,-1.0004905000,-2.4525000000
0.0150000000,1.5696927018,-0.1471500036,0.0000006090,0.0001623984,1.0000000000,-1.0011036248,-2.4525000000
0.0200000000,1.5688343267,-0.1962000152,0.0000019247,0.0003849442,1.0000000000,-1.0019619988,-2.4525000000
0.0250000000,1.5677307016,-0.2452500468,0.0000046990,0.0007518435,1.0000000000,-1.0030656204,-2.4525000000
0.0300000000,1.5663818262,-0.2943001172,0.0000097439,0.0012991838,1.0000000000,-1.0044144862,-2.4525000000
0.0350000000,1.5647877003,-0.3433502553,0.0000180517,0.0020630510,1.0000000000,-1.0060085902,-2.4525000000
0.0400000000,1.5629483235,-0.3924005022,0.0000307954,0.0030795286,1.0000000000,-1.0078479223,-2.4525000000
0.0450000000,1.5608636950,-0.4414509141,0.0000493282,0.0043846967,1.0000000000,-1.0099324672,-2.4525000000
0.0500000000,1.5585338139,-0.4905015652,0.0000751837,0.0060146295,1.0000000000,-1.0122622027,-2.4525000000
0.0550000000,1.5559586788,-0.5395525511,0.0001100759,0.0080053936,1.0000000000,-1.0148370975,-2.4525000000
0.0600000000,1.5531382877,-0.5886039929,0.0001558991,0.0103930446,1.0000000000,-1.0176571093,-2.4525000000
0.0650000000,1.5500726379,-0.6376560409,0.0002147279,0.0132136239,0.9999999999,-1.0207221825,-2.4525000000
0.0700000000,1.5467617259,-0.6867088800,0.0002888169,0.0165031543,0.9999999998,-1.0240322452,-2.4525000000
0.0750000000,1.5432055474,-0.7357627341,0.0003806010,0.0202976349,0.9999999996,-1.0275872065,-2.4525000000
0.0800000000,1.5394040965,-0.7848178724,0.0004926948,0.0246330354,0.9999999992,-1.0313869532,-2.4525000000
0.0850000000,1.5353573660,-0.8338746156,0.0006278928,0.0295452890,0.9999999985,-1.0354313461,-2.4525000000
0.0900000000,1.5310653470,-0.8829333427,0.0007891689,0.0350702848,0.9999999973,-1.0397202163,-2.4525000000
0.0950000000,1.5265280285,-0.9319944987,0.0009796766,0.0412438588,0.9999999953,-1.0442533612,-2.4525000000
0.1000000000,1.5217453971,-0.9810586026,0.0012027481,0.0481017843,0.9999999921,-1.0490305394,-2.4525000000
0.1050000000,1.5167174366,-1.0301262564,0.0014618945,0.0556797598,0.9999999871,-1.0540514663,-2.4525000000
0.1100000000,1.5114441275,-1.0791981545,0.0017608051,0.0640133973,0.9999999794,-1.0593158087,-2.4524999999
0.1150000000,1.5059254466,-1.1282750940,0.0021033471,0.0731382080,0.9999999678,-1.0648231791,-2.4524999999
0.1200000000,1.5001613666,-1.1773579851,0.0024935648,0.0830895867,0.9999999505,-1.0705731294,-2.4524999999
0.1250000000,1.4941518552,-1.2264478634,0.0029356794,0.0939027953,0.9999999252,-1.0765651448,-2.4524999999
0.1300000000,1.4878968744,-1.2755459011,0.0034340877,0.1056129433,0.9999998888,-1.0827986366,-2.4524999998
0.1350000000,1.4813963804,-1.3246534206,0.0039933619,0.1182549678,0.9999998370,-1.0892729346,-2.4524999998
0.1400000000,1.4746503219,-1.3737719071,0.0046182484,0.1318636109,0.9999997643,-1.0959872794,-2.4524999997
0.1450000000,1.4676586403,-1.4229030227,0.0053136666,0.1464733948,0.9999996635,-1.1029408138,-2.4524999997
0.1500000000,1.4604212676,-1.4720486205,0.0060847081,0.1621185950,0.9999995252,-1.1101325737,-2.4524999996
0.1550000000,1.4529381265,-1.5212107592,0.0069366350,0.1788332109,0.9999993374,-1.1175614787,-2.4524999996
0.1600000000,1.4452091287,-1.5703917181,0.0078748787,0.1966509337,0.9999990848,-1.1252263218,-2.4524999995
0.1650000000,1.4372341738,-1.6195940114,0.0089050384,0.2156051112,0.9999987479,-1.1331257583,-2.4524999995
0.1700000000,1.4290131484,-1.6688204037,0.0100328789,0.2357287100,0.9999983024,-1.1412582947,-2.4524999994
0.1750000000,1.4205459246,-1.7180739240,0.0112643288,0.2570542729,0.9999977179,-1.1496222764,-2.4524999993
0.1800000000,1.4118323585,-1.7673578802,0.0126054784,0.2796138743,0.9999969568,-1.1582158746,-2.4524999992
0.1850000000,1.4028722890,-1.8166758725,0.0140625769,0.3034390692,0.9999959725,-1.1670370728,-2.4524999991
0.1900000000,1.3936655365,-1.8660318057,0.0156420301,0.3285608391,0.9999947081,-1.1760836524,-2.4524999991
0.1950000000,1.3842119007,-1.9154299003,0.0173503969,0.3550095313,0.9999930937,-1.1853531774,-2.4524999990
0.2000000000,1.3745111597,-1.9648747022,0.0191943864,0.3828147932,0.9999910449,-1.1948429782,-2.4524999989
0.2050000000,1.3645630678,-2.0143710897,0.0211808540,0.4120054987,0.9999884593,-1.2045501347,-2.4524999988
0.2100000000,1.3543673542,-2.0639242784,0.0233167973,0.4426096684,0.9999852137,-1.2144714583,-2.4524999987
0.2150000000,1.3439237211,-2.1135398225,0.0256093517,0.4746543795,0.9999811604,-1.2246034734,-2.4524999986
0.2200000000,1.3332318422,-2.1632236123,0.0280657854,0.5081656676,0.9999761229,-1.2349423969,-2.4524999985
0.2250000000,1.3222913609,-2.2129818678,0.0306934942,0.5431684163,0.9999698912,-1.2454841179,-2.4524999984
0.2300000000,1.3111018886,-2.2628211255,0.0334999948,0.5796862347,0.9999622163,-1.2562241757,-2.4524999983
0.2350000000,1.2996630033,-2.3127482208,0.0364929188,0.6177413206,0.9999528040,-1.2671577367,-2.4524999982
0.2400000000,1.2879742481,-2.3627702609,0.0396800046,0.6573543077,0.9999413077,-1.2782795705,-2.4524999982
0.2450000000,1.2760351302,-2.4128945911,0.0430690900,0.6985440939,0.9999273208,-1.2895840243,-2.4524999981
0.2500000000,1.2638451192,-2.4631287498,0.0466681020,0.7413276492,0.9999103669,-1.3010649976,-2.4524999981
0.2550000000,1.2514036469,-2.5134804130,0.0504850476,0.7857198000,0.9998898904,-1.3127159136,-2.4524999981
0.2600000000,1.2387101063,-2.5639573259,0.0545280019,0.8317329859,0.9998652446,-1.3245296915,-2.4524999981
0.2650000000,1.2257638520,-2.6145672187,0.0588050957,0.8793769867,0.9998356791,-1.3364987169,-2.4524999981
0.2700000000,1.2125641998,-2.6653177070,0.0633245014,0.9286586152,0.9998003250,-1.3486148106,-2.4524999982
0.2750000000,1.1991104282,-2.7162161725,0.0680944173,0.9795813704,0.9997581796,-1.3608691975,-2.4524999983
0.2800000000,1.1854017797,-2.7672696222,0.0731230503,1.0321450487,0.9997080879,-1.3732524739,-2.4524999985
0.2850000000,1.1714374629,-2.8184845244,0.0784185958,1.0863453050,0.9996487231,-1.3857545741,-2.4524999988
0.2900000000,1.1572166558,-2.8698666169,0.0839892163,1.1421731609,0.9995785648,-1.3983647366,-2.4524999991
0.2950000000,1.1427385100,-2.9214206866,0.0898430169,1.1996144517,0.9994958746,-1.4110714694,-2.4524999995
0.3000000000,1.1280021562,-2.9731503157,0.0959880171,1.2586492076,0.9993986696,-1.4238625159,-2.4524999999
