t,theta1,omega1,theta2,omega2,x2,y2,energy
0.8000000000,-0.8110156176,-4.4661528103,0.9275175938,0.6992355464,0.0751463382,-1.2885845632,1.3145830237
0.8050000000,-0.8332832890,-4.4411092215,0.9306820968,0.5668782230,0.0618843332,-1.2697363458,1.3145830148
0.8100000000,-0.8554285002,-4.4171402033,0.9331894658,0.4363754276,0.0486705948,-1.2511693222,1.3145830068
0.8150000000,-0.8774562021,-4.3940781957,0.9350488880,0.3076953585,0.0355125045,-1.2328887750,1.3145829997
0.8200000000,-0.8993705256,-4.3717625485,0.9362694271,0.1808204224,0.0224167720,-1.2148994977,1.3145829932
0.8250000000,-0.9211748141,-4.3500390990,0.9368600921,0.0557458926,0.0093894456,-1.1972058263,1.3145829873
0.8300000000,-0.9428716564,-4.3287598452,0.9368298975,-0.0675213737,-0.0035640797,-1.1798116662,1.3145829820
0.8350000000,-0.9644629157,-4.3077827004,0.9361879185,-0.1889641686,-0.0164390548,-1.1627205132,1.3145829771
0.8400000000,-0.9859497593,-4.2869713207,0.9349433400,-0.3085561191,-0.0292313703,-1.1459354713,1.3145829727
0.8450000000,-1.0073326869,-4.2661949933,0.9331054990,-0.4262628333,-0.0419375495,-1.1294592660,1.3145829686
0.8500000000,-1.0286115586,-4.2453285775,0.9306839222,-0.5420430057,-0.0545547420,-1.1132942546,1.3145829648
0.8550000000,-1.0497856228,-4.2242524867,0.9276883581,-0.6558494849,-0.0670807155,-1.0974424338,1.3145829613
0.8600000000,-1.0708535436,-4.2028527054,0.9241288033,-0.7676303024,-0.0795138478,-1.0819054451,1.3145829580
0.8650000000,-1.0918134292,-4.1810208305,0.9200155240,-0.8773296619,-0.0918531159,-1.0666845778,1.3145829549
0.8700000000,-1.1126628601,-4.1586541297,0.9153590734,-0.9848888863,-0.1040980847,-1.0517807707,1.3145829519
0.8750000000,-1.1333989171,-4.1356556114,0.9101703031,-1.0902473214,-0.1162488927,-1.0371946129,1.3145829491
0.8800000000,-1.1540182107,-4.1119340965,0.9044603712,-1.1933431920,-0.1283062362,-1.0229263428,1.3145829463
0.8850000000,-1.1745169104,-4.0874042900,0.8982407457,-1.2941144092,-0.1402713512,-1.0089758473,1.3145829436
0.8900000000,-1.1948907738,-4.0619868431,0.8915232044,-1.3924993246,-0.1521459924,-0.9953426605,1.3145829410
0.8950000000,-1.2151351767,-4.0356084054,0.8843198306,-1.4884374304,-0.1639324105,-0.9820259625,1.3145829385
0.9000000000,-1.2352451435,-4.0082016606,0.8766430062,-1.5818700022,-0.1756333265,-0.9690245779,1.3145829359
0.9050000000,-1.2552153769,-3.9797053440,0.8685054007,-1.6727406836,-0.1872519043,-0.9563369760,1.3145829334
0.9100000000,-1.2750402885,-3.9500642394,0.8599199585,-1.7609960112,-0.1987917200,-0.9439612709,1.3145829309
0.9150000000,-1.2947140289,-3.9192291535,0.8508998833,-1.8465858792,-0.2102567307,-0.9318952225,1.3145829284
0.9200000000,-1.3142305176,-3.8871568685,0.8414586198,-1.9294639454,-0.2216512395,-0.9201362399,1.3145829259
0.9250000000,-1.3335834730,-3.8538100695,0.8316098343,-2.0095879771,-0.2329798606,-0.9086813846,1.3145829235
0.9300000000,-1.3527664412,-3.8191572509,0.8213673935,-2.0869201404,-0.2442474818,-0.8975273770,1.3145829210
0.9350000000,-1.3717728253,-3.7831725996,0.8107453417,-2.1614272341,-0.2554592258,-0.8866706027,1.3145829186
0.9400000000,-1.3905959133,-3.7458358577,0.7997578773,-2.2330808709,-0.2666204117,-0.8761071225,1.3145829162
0.9450000000,-1.4092289052,-3.7071321654,0.7884193282,-2.3018576084,-0.2777365149,-0.8658326829,1.3145829138
0.9500000000,-1.4276649402,-3.6670518878,0.7767441271,-2.3677390351,-0.2888131271,-0.8558427288,1.3145829115
0.9550000000,-1.4458971218,-3.6255904244,0.7647467860,-2.4307118122,-0.2998559165,-0.8461324186,1.3145829092
0.9600000000,-1.4639185425,-3.5827480065,0.7524418709,-2.4907676782,-0.3108705885,-0.8366966407,1.3145829070
0.9650000000,-1.4817223080,-3.5385294836,0.7398439765,-2.5479034174,-0.3218628469,-0.8275300318,1.3145829048
0.9700000000,-1.4993015589,-3.4929440998,0.7269677010,-2.6021207985,-0.3328383565,-0.8186269973,1.3145829026
0.9750000000,-1.5166494929,-3.4460052645,0.7138276217,-2.6534264853,-0.3438027069,-0.8099817328,1.3145829006
0.9800000000,-1.5337593844,-3.3977303173,0.7004382703,-2.7018319255,-0.3547613779,-0.8015882478,1.3145828986
